Marital_Status,Occupation,Num_Bank_Accounts,Num_Credit_Cards,Credit_Utilization_Ratio,Outstanding_Debt,Monthly_Balance,Credit_Score,Credit_Mix,Num_Loans,Loan_Types,Credit_Inquiries,Total_EMI,Min_Amount_Paid,Payment_Behaviour,Collateral_Type,Collateral_Value,Interest_Rate,Due_Date_Delay,Delayed_Payments,Credit_Limit_Change
Single,Doctor,10,1,39.011984767353866,1028.67,150.3548616405816,Standard,Bad,9.0,sdv-pii-d7bo8,0.0,0.0,,Low_spent_Small_value_payments,Bonds,144582,81,59,17.0,22.396472259233718
Single,Musician,7,3,40.67710256108274,1844.62,534.1552077431315,Standard,Standard,-3.0,sdv-pii-dpjjh,7.0,0.0,,Low_spent_Medium_value_payments,Stocks,199002,79,13,26.0,0.8729249326339357
Separated,Mechanic,13,1,31.92774754311856,386.77,357.35168857011115,Standard,Standard,-1.0,sdv-pii-a6yfl,9.0,3571.0432928334576,,High_spent_Small_value_payments,Bonds,111411,52,-1,9.0,1.7286141729579283
Married,Scientist,6,1,41.51328788148247,472.34,288.5728737293578,Standard,Standard,-6.0,sdv-pii-d2mts,7.0,4868.500844654985,,High_spent_Large_value_payments,Property,0,77,-4,12.0,-0.11076343738032168
In a Relationship,Writer,0,1,35.32311312346489,4211.22,370.12576388559813,Standard,Good,2.0,sdv-pii-p3mtv,7.0,69.5604657235081,,High_spent_Medium_value_payments,No Collateral,0,1,22,14.0,5.703584545340014
Divorced,Journalist,11,1,35.93895119967386,1496.64,616.6224527640594,Standard,Standard,1.0,sdv-pii-g2n8m,4.0,3321.000913628204,,High_spent_Small_value_payments,Stocks,116325,79,6,11.0,-3.44
Single,Writer,9,1,32.881007018257485,1381.39,367.94633297838175,Good,_,-4.0,sdv-pii-wwv7i,7.0,2654.3910040648902,,Low_spent_Small_value_payments,Vehicle,139037,75,7,11.0,-3.44
Separated,Journalist,10,1,22.53759303178384,1807.53,464.9356595491146,Standard,Standard,-1.0,sdv-pii-plnal,14.0,2516.44084042498,,High_spent_Small_value_payments,Vehicle,139300,64,-3,4.0,5.579535810496894
Single,Entrepreneur,0,1,31.77855756808958,4984.82,586.2240211379877,Poor,Good,-1.0,sdv-pii-amfpf,0.0,938.9770023270977,,Low_spent_Small_value_payments,No Collateral,38773,45,0,15.0,0.21846561666018438
Single,_______,3,13,25.908040117836684,4974.75,544.5607044144369,Poor,Standard,6.0,sdv-pii-38vqu,11.0,1400.2026713024777,,Low_spent_Large_value_payments,Bonds,142017,87,-1,18.0,1.0529453799250206
Engaged,Engineer,3,1,32.68094715103992,595.48,409.6013334449799,Poor,_,-1.0,sdv-pii-imb2d,8.0,914.67254631047,,High_spent_Large_value_payments,Property,57360,70,-1,9.0,10.445122172338651
Married,Doctor,0,1,35.093665115349665,2146.09,424.3927511716182,Standard,Bad,-100.0,sdv-pii-x2t3r,5.0,917.1945272914988,,!@9#%8,Vehicle,132102,62,26,13.0,0.3516180935790443
Single,Entrepreneur,3,1,39.18047740740145,4434.0,207.49979516854938,Standard,_,,sdv-pii-r5cv6,6.0,3541.389240212407,,High_spent_Medium_value_payments,Vehicle,38874,74,4,20.0,5.69742098144528
In a Relationship,Architect,12,1,27.592671233919212,1640.01,586.7323429224739,Poor,Good,-100.0,sdv-pii-dkkqm,0.0,1852.3896844525252,,Low_spent_Medium_value_payments,Property,109169,10,16,19.0,11.223189720017043
Married,Scientist,1,11,40.17866795958863,4959.12,487.07059597364974,Good,Standard,-2.0,sdv-pii-571f1,13.0,2073.2800820327807,,Low_spent_Small_value_payments,No Collateral,90791,65,26,18.0,7.128310928134095
Single,_______,7,1,31.524741492658602,35.54,436.17565616592094,Standard,Bad,2.0,sdv-pii-pwx5c,6.0,2072.0122451195925,,Low_spent_Medium_value_payments,Bonds,20793,96,18,9.0,6.364857100128127
Engaged,Musician,8,1,22.53759303178384,3778.61,402.4275882434363,Poor,Bad,9.0,sdv-pii-owy9h,7.0,4031.7281374768977,,Low_spent_Small_value_payments,Property,93039,62,14,3.0,3.9466696351869706
Separated,Accountant,2,6,41.51328788148247,3610.84,447.5660262946682,Good,Good,-6.0,sdv-pii-2b117,15.0,1409.4623072608927,,High_spent_Large_value_payments,Stocks,187584,27,-5,12.0,-0.25302569759317795
Widowed,Journalist,5,1,33.678311681510905,862.25,422.8075494857011,Standard,Good,1.0,sdv-pii-cfeiy,9.0,4381.000069473839,,High_spent_Large_value_payments,Stocks,10435,57,23,14.0,-3.44
Widowed,_______,6,1,38.03630578820677,2222.63,55.36377333030421,Good,Standard,-96.0,sdv-pii-f6lye,15.0,960.8259608633743,,High_spent_Small_value_payments,Stocks,86208,73,25,,
Widowed,Engineer,0,10,35.97540933859367,1775.84,624.2398175122729,Poor,_,,sdv-pii-diqk7,15.0,0.0,,High_spent_Small_value_payments,No Collateral,199002,8,-1,14.0,-1.23846692071415
Engaged,Manager,0,1,33.29769338342963,4734.53,423.81705765595876,Good,Bad,-2.0,sdv-pii-rlr9a,0.0,0.0,,High_spent_Large_value_payments,Vehicle,34496,77,-5,14.0,3.238565728699511
Married,Developer,1,11,41.51328788148247,4984.82,276.55611483580884,Standard,Standard,3.0,sdv-pii-xnkaa,0.0,941.6207549013371,,Low_spent_Small_value_payments,Property,110562,109,29,22.0,2.4049349861102414
Engaged,Manager,7,1,35.94775346143137,1466.77,616.4370328960529,Poor,Good,,sdv-pii-qnjwj,8.0,2351.195410541699,,Low_spent_Small_value_payments,Bonds,110910,76,-5,10.0,-0.4658652311299898
In a Relationship,_______,2,1,34.83272128540474,1583.09,968.0282694126965,Poor,Standard,5.0,sdv-pii-squ5l,2.0,0.0,,Low_spent_Small_value_payments,Vehicle,199002,98,-2,6.0,4.4701594783946055
Married,Musician,6,1,37.055550559313765,4984.82,561.6189805260283,Good,Standard,2.0,sdv-pii-at1av,12.0,0.0,,High_spent_Medium_value_payments,Bonds,188898,102,6,5.0,4.966647311028213
Single,Musician,4,1,29.371856569495833,3593.55,541.8375196944341,Standard,Good,1.0,sdv-pii-tsb7n,11.0,2553.923411369385,,!@9#%8,No Collateral,166395,70,12,11.0,2.793603625618605
Single,Entrepreneur,3,1,41.51328788148247,1425.9,603.9256388674889,Poor,Standard,-7.0,sdv-pii-8m3fr,3.0,3699.873849235293,,High_spent_Medium_value_payments,Bonds,3176,31,-4,22.0,0.07234028830226791
Single,Scientist,8,1,41.51328788148247,1830.39,262.0370576649484,Standard,Good,-1.0,sdv-pii-g5fqs,0.0,1755.3489200717581,,Low_spent_Medium_value_payments,Property,67554,1,18,21.0,4.05765158991927
Married,Engineer,0,1,38.03528521942372,1758.21,348.3127243918081,Standard,Standard,-95.0,sdv-pii-mfbpi,3.0,0.0,,Low_spent_Medium_value_payments,No Collateral,1857,8,2,21.0,3.654118171224609
Married,Architect,5,10,32.204111709845755,3128.65,421.8057922679204,Good,Standard,-5.0,sdv-pii-3sp22,5.0,243.19874323678073,,High_spent_Small_value_payments,Property,167734,101,34,10.0,4.251976056033846
Single,Scientist,12,1,22.53759303178384,645.25,415.82526034773156,Standard,Good,2.0,sdv-pii-6o97k,5.0,0.0,,!@9#%8,Stocks,180462,30,18,1.0,4.331376898039059
Single,_______,5,1,29.27284863485433,1697.33,535.884612319621,Standard,Bad,1.0,,6.0,0.0,,High_spent_Large_value_payments,Stocks,38947,68,24,,10.474390851645616
Separated,Journalist,1,1,41.51328788148247,4864.33,439.38296763885296,Standard,Standard,5.0,sdv-pii-l13g0,4.0,1785.0572273630512,,High_spent_Small_value_payments,Bonds,142590,10,25,15.0,2.5018443407473487
Single,Developer,10,1,32.958073574153275,1612.62,585.6600733930998,Standard,Bad,7.0,sdv-pii-csvsf,5.0,1781.4841697942315,,High_spent_Medium_value_payments,Bonds,0,1,-1,15.0,5.130712624376743
Separated,Entrepreneur,0,1,38.011654972692355,2767.54,482.64580709503684,Standard,Bad,-7.0,sdv-pii-6b72k,12.0,0.0,,!@9#%8,Property,161231,16,16,9.0,2.3188908528626397
Single,Architect,6,1,29.9758037585692,3188.95,573.0260208556457,Standard,_,2.0,sdv-pii-339o2,8.0,2038.779278870077,,Low_spent_Small_value_payments,Property,149345,82,-5,18.0,2.1963876821025927
Separated,Musician,4,4,38.09553291545299,2692.25,555.5115817191863,Good,Standard,-2.0,,2.0,0.0,,Low_spent_Medium_value_payments,Vehicle,63241,28,-5,19.0,2.3469385583080076
Married,Musician,0,1,27.536110710968757,1389.86,953.4296717659643,Standard,Standard,,sdv-pii-6afl3,4.0,0.0,,Low_spent_Medium_value_payments,Vehicle,125133,69,5,17.0,10.248920719122605
Divorced,Entrepreneur,8,1,26.969480950262678,996.17,478.2154656702411,Standard,Standard,-2.0,sdv-pii-vyp3k,5.0,0.0,,Low_spent_Small_value_payments,No Collateral,128716,83,5,12.0,12.181327374402857
Engaged,Engineer,7,1,26.614382832202963,2667.49,477.4312124900393,Good,Bad,0.0,,4.0,0.0,,Low_spent_Large_value_payments,Vehicle,106575,87,39,11.0,0.384491317698056
Engaged,Developer,10,1,25.904435293813137,62.13,1120.751173160778,Standard,Standard,-3.0,sdv-pii-otawi,12.0,259.3793374513293,,High_spent_Medium_value_payments,Property,104997,5,-4,20.0,3.937956506211439
Divorced,Accountant,9,1,22.53759303178384,2003.29,412.53465440089593,Good,Bad,5.0,sdv-pii-h99hb,10.0,0.0,,Low_spent_Medium_value_payments,Property,155781,82,-5,16.0,3.323742268828539
Separated,Musician,0,1,30.52694982275947,4719.47,541.4934879528877,Poor,Good,-2.0,sdv-pii-wvm7h,0.0,2510.8079999944816,,High_spent_Medium_value_payments,Bonds,199002,55,-3,,8.242569124140324
In a Relationship,Developer,5,1,41.51328788148247,763.3,509.75791024480515,Poor,Good,-100.0,sdv-pii-afyhb,15.0,2345.0866791465037,,Low_spent_Small_value_payments,Stocks,175678,90,3,17.0,3.2736908615328897
Widowed,Teacher,2,1,30.395697333110537,4962.21,247.2026548140993,Poor,Bad,4.0,sdv-pii-8vjnw,8.0,3467.6776395617676,,Low_spent_Medium_value_payments,Bonds,125385,65,19,3.0,6.938254414198123
In a Relationship,Lawyer,0,1,30.32890001076207,1233.61,960.7510302818731,Good,Good,-2.0,sdv-pii-no6ex,6.0,935.2987079217125,,High_spent_Small_value_payments,No Collateral,18116,1,30,3.0,7.893671469486226
Married,Architect,5,1,36.31174200106622,2029.83,250.43934327628153,Good,_,8.0,sdv-pii-2qlpj,3.0,953.4959826765802,,High_spent_Small_value_payments,Property,88135,99,22,,1.6686808993804974
Engaged,Media_Manager,3,1,27.776220502817164,720.25,934.2471869807096,Standard,Standard,7.0,,12.0,0.0,,Low_spent_Small_value_payments,Bonds,147831,73,16,15.0,
Engaged,Journalist,7,1,31.247023065504315,1068.28,512.2858262366038,Good,Standard,-4.0,sdv-pii-l8joj,0.0,2975.246062159356,,Low_spent_Small_value_payments,Vehicle,69680,30,35,8.0,5.672334810020403
Divorced,Entrepreneur,1,18,29.232323242835314,514.33,335.17729075259655,Standard,Good,5.0,sdv-pii-vys23,6.0,0.0,,Low_spent_Medium_value_payments,Vehicle,104757,49,-5,4.0,7.093607128376309
Married,Teacher,5,1,35.764119281870094,3990.76,517.8174687161778,Standard,Good,-4.0,sdv-pii-n1v10,0.0,252.28331100032432,,Low_spent_Small_value_payments,Vehicle,73377,22,24,11.0,1.2118697747195881
Married,Musician,5,1,22.99781786211298,1021.09,209.49427729482233,Standard,Standard,-100.0,sdv-pii-4xhzc,6.0,0.0,,High_spent_Medium_value_payments,No Collateral,67478,88,-5,12.0,7.328889354138439
Single,_______,6,1,27.446261005567326,2898.28,344.6388739408882,Poor,Good,-4.0,sdv-pii-5aryg,0.0,1118.225476481413,,High_spent_Medium_value_payments,No Collateral,76561,98,-5,4.0,-3.44
In a Relationship,Entrepreneur,9,1,38.32691490400627,4973.94,181.6388741335312,Standard,Standard,3.0,sdv-pii-i2wux,0.0,4080.331710161653,,Low_spent_Small_value_payments,Property,199002,63,3,25.0,-1.35995789333042
Single,Manager,10,1,27.507042385868964,3288.33,500.21368634792566,Standard,_,5.0,sdv-pii-cazcn,11.0,4020.7676606656464,,Low_spent_Medium_value_payments,Vehicle,101211,88,40,,5.991294795507549
Single,Media_Manager,2,1,36.170382324347024,1632.88,328.13007639560095,Standard,Bad,-3.0,sdv-pii-jzfpg,11.0,1040.845571174195,,Low_spent_Medium_value_payments,Vehicle,175527,75,16,12.0,2.896792316012138
Single,Manager,0,1,26.480706940500774,792.4,238.51915723065258,Standard,Standard,1.0,sdv-pii-vka3f,9.0,4680.362871959241,,Low_spent_Small_value_payments,Bonds,0,55,32,8.0,8.458705369951405
Divorced,Teacher,6,1,38.70404581718999,2019.62,395.37733694517436,Standard,Good,2.0,sdv-pii-8ca4m,2.0,2522.4255611453355,,High_spent_Medium_value_payments,No Collateral,91011,57,12,10.0,0.8176630389211628
Separated,Journalist,3,1,41.13706537532729,,469.0569552982445,Standard,Bad,-6.0,sdv-pii-96f4n,0.0,0.0,,High_spent_Small_value_payments,Stocks,45637,92,4,15.0,4.671150788246473
Engaged,Scientist,7,1,30.624397739471846,2896.91,632.9963335904885,Standard,Standard,-4.0,sdv-pii-tnw5r,6.0,3735.8658807629445,,High_spent_Medium_value_payments,Property,199002,51,4,9.0,11.296715944356528
Married,Writer,5,1,38.19291036062501,841.17,587.2374236279663,Poor,Standard,-1.0,sdv-pii-3kwv2,8.0,3194.2396131257083,,High_spent_Small_value_payments,Stocks,0,3,5,26.0,4.1073215988317795
Married,Teacher,2,1,29.36788656496724,1324.6,510.48569578905233,Poor,Bad,-7.0,,15.0,2462.322237450824,,High_spent_Medium_value_payments,Vehicle,184561,87,27,9.0,4.63968077852665
Married,Lawyer,0,1,33.335154116052124,4984.82,116.72748622364384,Standard,Good,9.0,sdv-pii-i1c0w,15.0,0.0,,High_spent_Large_value_payments,No Collateral,188558,101,16,19.0,4.55261648222646
Married,Manager,0,7,38.524388659650775,1446.23,364.8802471257836,Standard,Good,1.0,sdv-pii-mw10l,0.0,3172.007943867912,,Low_spent_Small_value_payments,Vehicle,89348,67,-5,24.0,2.114899761814682
Single,Developer,8,1,30.98845177741837,35.54,300.9532238993101,Poor,_,3.0,sdv-pii-wd3xh,14.0,80675.22813683623,,!@9#%8,No Collateral,68529,76,28,4.0,-3.44
Separated,Journalist,4,1,38.028087987664776,2149.99,387.96985718644044,Standard,Good,4.0,sdv-pii-ycxbm,9.0,4873.717904850672,,!@9#%8,Bonds,66362,52,-4,24.0,2.065185311699268
Widowed,Mechanic,1,1,41.51328788148247,2816.77,511.02723235206213,Poor,Good,2.0,sdv-pii-nndpa,15.0,1646.4587634730062,,High_spent_Small_value_payments,Property,0,31,31,13.0,5.832596752362106
Single,Media_Manager,4,1,32.64900005274072,4106.61,497.66736655486477,Poor,Standard,-3.0,sdv-pii-u0uwy,12.0,3715.2394607961296,,Low_spent_Small_value_payments,Property,173398,1,13,25.0,3.5321847764838967
Separated,Lawyer,8,1,40.18136800399536,2947.64,65.0814075156635,Standard,Good,2.0,sdv-pii-9x6wt,5.0,4844.920559308306,,High_spent_Large_value_payments,Bonds,165073,34,17,1.0,2.1247835291113777
Divorced,Manager,4,4,38.08447030634537,1999.92,495.54206041060945,Standard,Standard,-5.0,,6.0,0.0,,High_spent_Medium_value_payments,Property,199002,50,30,,6.447925833801462
Single,Developer,6,1,40.191575182682115,2258.78,619.0145198092034,Standard,Bad,7.0,sdv-pii-pipkx,6.0,0.0,,Low_spent_Small_value_payments,Bonds,91332,55,5,17.0,-1.7613495113656716
In a Relationship,Manager,2,1,41.51328788148247,1337.72,419.9352500073489,Poor,Bad,2.0,,6.0,1024.1558873038719,,Low_spent_Small_value_payments,No Collateral,175289,82,11,10.0,0.4445473020596271
Married,Media_Manager,9,1,40.29470206189374,1042.08,213.4687028611475,Poor,Standard,-3.0,sdv-pii-wmd1x,15.0,3329.172528151949,,Low_spent_Small_value_payments,Stocks,199002,15,-5,12.0,-0.25406509109992736
Single,Architect,10,17,34.80684030154878,1768.96,483.8903060546528,Poor,Standard,2.0,sdv-pii-uvmxt,6.0,35.34743837421516,,Low_spent_Small_value_payments,Vehicle,181462,81,-5,18.0,2.572783776709903
Engaged,Media_Manager,10,1,30.589069300290866,4220.97,654.7606815254443,Good,_,9.0,sdv-pii-4g940,5.0,0.0,,!@9#%8,No Collateral,86963,29,20,16.0,0.14208113838945824
Married,Teacher,1,1,35.316948695511904,3576.97,354.2644446272224,Standard,_,3.0,sdv-pii-ls62r,0.0,216.89465545642065,,!@9#%8,Stocks,123929,71,11,19.0,1.8813008801089284
In a Relationship,Scientist,10,1,33.78497326723021,2239.53,414.95498038866066,Good,Standard,3.0,sdv-pii-ujfzg,6.0,0.0,,!@9#%8,No Collateral,77080,47,22,12.0,-0.8475740393890616
Single,Musician,6,1,28.69832841876022,4344.47,192.32758834712698,Good,Standard,-5.0,sdv-pii-r1m57,5.0,0.0,,High_spent_Small_value_payments,Property,92565,65,-5,12.0,0.05067022712454161
Engaged,_______,4,1,36.650228430430836,4017.54,339.3311103525577,Good,Standard,-3.0,sdv-pii-d2055,2.0,231.47479879650825,,High_spent_Large_value_payments,Bonds,181618,56,12,3.0,-3.44
Widowed,Engineer,4,1,23.587301306299487,2058.23,553.8274266253907,Good,Standard,-4.0,sdv-pii-bis7i,2.0,1625.20402275367,,Low_spent_Small_value_payments,Vehicle,193527,88,-5,14.0,1.204947559890977
Single,Manager,6,20,35.50630852609593,1290.51,363.05833361243793,Poor,Good,-2.0,sdv-pii-i5r4t,10.0,0.0,,High_spent_Medium_value_payments,Vehicle,106326,77,39,25.0,2.490532064703408
Single,Scientist,11,1,41.51328788148247,665.07,1120.751173160778,Good,Standard,-2.0,sdv-pii-417sj,10.0,2844.264781734293,,Low_spent_Large_value_payments,Vehicle,0,56,-1,8.0,7.623937776061885
Divorced,Doctor,0,13,32.277482712303645,2155.03,470.31293621987663,Poor,Standard,,sdv-pii-bplq2,8.0,1126.0806054287436,,Low_spent_Small_value_payments,Vehicle,175169,43,-2,21.0,
Married,Musician,7,7,28.01937915857824,1445.84,335.67363122277976,Good,_,9.0,sdv-pii-zdf8a,8.0,614.7780911159551,,High_spent_Small_value_payments,No Collateral,168296,82,-3,23.0,
Single,Writer,10,1,34.631741193485766,2622.86,285.5455143739208,Poor,Standard,5.0,,5.0,0.0,,Low_spent_Medium_value_payments,Vehicle,114146,93,-4,17.0,4.565846363010676
Single,Lawyer,8,1,33.94833793530042,891.95,238.28275946126598,Standard,Good,0.0,sdv-pii-r38fj,9.0,0.0,,High_spent_Small_value_payments,Bonds,3664,28,-5,12.0,-3.44
Separated,Doctor,4,1,33.97856354532916,2161.91,566.6546625456499,Standard,Bad,8.0,sdv-pii-4zto2,4.0,0.0,,Low_spent_Small_value_payments,Bonds,56545,96,22,14.0,4.192034822837985
Engaged,Entrepreneur,0,1,38.335310820046274,1216.23,393.86537359465547,Poor,_,9.0,sdv-pii-mcddy,13.0,1769.049688322871,,High_spent_Small_value_payments,Property,99545,47,24,11.0,4.552233418719409
Married,Entrepreneur,8,21,32.869063061957306,3736.44,481.6299172653654,Poor,Good,-3.0,sdv-pii-4f7hv,4.0,3577.2355591971213,,High_spent_Large_value_payments,Property,199002,90,-2,,-1.290000806942527
Single,Developer,11,1,32.23051355565235,3091.33,1120.751173160778,Standard,Standard,-5.0,sdv-pii-mfe7m,8.0,493.5078584235025,,High_spent_Large_value_payments,Property,143933,46,41,8.0,-0.8059074268086741
Separated,Scientist,1,3,33.90030522301679,3495.09,435.9188823107683,Standard,Standard,-6.0,sdv-pii-nfhtv,3.0,1548.5412263974174,,Low_spent_Small_value_payments,Stocks,65080,49,26,14.0,7.077799542581873
Married,Teacher,0,1,29.65870477866289,1179.49,447.063960546379,Poor,_,-5.0,sdv-pii-t0wde,3.0,3727.54993159265,,High_spent_Medium_value_payments,No Collateral,134987,40,7,18.0,-3.44
Single,Scientist,2,1,38.80581276917996,359.18,60.53771626234314,Poor,_,-3.0,sdv-pii-0cqo0,5.0,3440.7339091341582,,Low_spent_Small_value_payments,No Collateral,199002,114,17,1.0,-1.3403062587264243
Separated,Accountant,2,1,28.27670154334503,1675.79,396.13829329981934,Poor,Standard,,sdv-pii-aivm0,5.0,0.0,,!@9#%8,Stocks,100168,88,-1,15.0,8.85654857350769
Divorced,Accountant,1,26,36.59573130125173,4984.82,381.4014462985618,Poor,Standard,-7.0,sdv-pii-8g5d5,5.0,0.0,,High_spent_Medium_value_payments,Vehicle,199002,18,13,3.0,-3.44
Separated,Scientist,3,1,39.97319398378443,1136.3,285.91182225238754,Standard,Standard,-4.0,sdv-pii-a3ye4,4.0,2639.0505391131187,,High_spent_Medium_value_payments,Vehicle,181939,56,16,10.0,-1.2682425266605266
In a Relationship,_______,1,6,40.41721488951753,4984.82,1120.751173160778,Good,Standard,-3.0,sdv-pii-j10zx,0.0,0.0,,Low_spent_Small_value_payments,Bonds,129714,34,22,13.0,2.5960805849044144
Single,Architect,7,1,32.881531567888224,761.45,471.44158544895356,Poor,Bad,9.0,sdv-pii-3i9qz,2.0,4029.6027322997834,,Low_spent_Small_value_payments,Vehicle,167285,103,17,4.0,0.15177330043197212
Single,Musician,5,2,35.72491986468284,1072.4,339.24084693070176,Poor,Standard,8.0,sdv-pii-v80v0,15.0,3601.729045374356,,Low_spent_Small_value_payments,Property,96149,15,-5,15.0,5.515063196827905
Widowed,Scientist,3,1,41.51328788148247,4918.4,570.3197198959817,Standard,Standard,-2.0,sdv-pii-z1k9c,3.0,0.0,,Low_spent_Medium_value_payments,Property,80647,1,21,12.0,19.964933095123754
Married,Lawyer,8,1,40.99792848636147,1428.9,522.1114587014517,Standard,Standard,-4.0,sdv-pii-0yaoc,2.0,3377.9321476025443,,High_spent_Medium_value_payments,Property,123623,98,-5,5.0,5.413830448070206
Separated,Doctor,1,16,33.69074699900997,2181.14,358.36374061050907,Poor,Standard,-5.0,sdv-pii-q6o5j,1.0,504.01700957908304,,Low_spent_Large_value_payments,Bonds,168348,43,10,15.0,-0.6430994015214351
Separated,Developer,4,1,41.51328788148247,2515.81,360.63191489865807,Standard,Bad,8.0,sdv-pii-x9miq,15.0,1172.5871059308447,,High_spent_Large_value_payments,Vehicle,161952,70,-3,1.0,9.25556922020288
Single,Accountant,4,1,35.72307898426142,552.58,506.5768665865074,Standard,Good,5.0,sdv-pii-4pdhl,15.0,730.286585476822,,High_spent_Small_value_payments,Vehicle,199002,101,-2,9.0,6.588053258021038
Single,Entrepreneur,11,1,31.8584467457763,699.32,675.4162538242219,Standard,Good,5.0,sdv-pii-u8aoy,1.0,1612.9757090292305,,Low_spent_Medium_value_payments,Vehicle,84200,94,7,17.0,-1.169956494976046
Single,Entrepreneur,5,1,34.63837844883802,1613.42,308.59924958443804,Standard,Good,-4.0,sdv-pii-ovw8x,0.0,3204.9475904240226,,High_spent_Medium_value_payments,Property,171779,64,2,1.0,14.228758710654517
In a Relationship,Lawyer,0,1,34.110228844612564,523.84,316.7221237273714,Poor,_,-100.0,,6.0,551.9884722962524,,!@9#%8,Stocks,80509,65,11,19.0,12.81089870059559
Separated,Media_Manager,3,1,37.78669607689755,3757.59,586.1190755026676,Good,Bad,9.0,sdv-pii-e8855,3.0,770.1406022219649,,!@9#%8,Stocks,84702,46,17,13.0,2.2507638154122853
Single,Scientist,6,1,35.900877356548214,3863.17,562.7817992700766,Good,Bad,-100.0,,8.0,1144.2742632055952,,Low_spent_Medium_value_payments,No Collateral,123465,87,9,6.0,14.269818807971683
Separated,Accountant,7,1,35.90665239020072,2831.05,585.4643272966716,Standard,Good,-9.0,sdv-pii-89iuy,11.0,0.0,,Low_spent_Medium_value_payments,Vehicle,199002,96,-5,17.0,
In a Relationship,_______,3,1,37.89686799698532,4660.9,562.8687054114635,Standard,Bad,-5.0,sdv-pii-tw4pt,1.0,0.0,,Low_spent_Small_value_payments,Stocks,529,65,35,19.0,3.995634248720556
Single,Journalist,9,1,41.51328788148247,4374.51,574.4755117804466,Good,Standard,-7.0,sdv-pii-adtpv,3.0,68.1203379378541,,Low_spent_Large_value_payments,No Collateral,77522,69,57,11.0,5.687081827242597
Married,Engineer,1,1,32.651424101321865,3848.62,348.8632675718414,Standard,Bad,2.0,sdv-pii-3zg7f,0.0,434.41591067712864,,Low_spent_Medium_value_payments,No Collateral,198030,89,9,14.0,1.3554811902564579
Single,Lawyer,4,1,22.53759303178384,3568.54,576.5359335332214,Good,Standard,6.0,sdv-pii-kdzc1,6.0,2414.4487776141877,,High_spent_Medium_value_payments,Vehicle,121702,37,-5,17.0,0.9832662168806685
In a Relationship,Architect,7,1,36.07512581007675,3537.18,558.855219506997,Standard,Standard,4.0,sdv-pii-3huef,3.0,0.0,,Low_spent_Small_value_payments,Bonds,66118,96,16,26.0,-3.44
Married,Entrepreneur,9,1,37.28343440094588,1943.47,538.4014985929841,Good,Good,-2.0,sdv-pii-wcdp3,3.0,1104.0368467907397,,Low_spent_Small_value_payments,No Collateral,65587,44,-4,17.0,9.622636061620504
Married,Architect,1,1,26.64596873691913,3723.83,223.2595040880111,Poor,_,0.0,sdv-pii-ztf7i,15.0,2595.9347832641183,,Low_spent_Small_value_payments,Property,149512,86,3,19.0,3.4270614590413295
Engaged,Architect,5,1,38.48141505415629,472.12,465.92044507030465,Standard,Standard,5.0,sdv-pii-38trj,15.0,142.6740674157543,,High_spent_Medium_value_payments,Stocks,111562,39,9,8.0,-0.03325001989550014
Single,Writer,0,1,27.584507310701657,1408.9,517.348270880149,Standard,Bad,-0.0,sdv-pii-s3b4x,11.0,803.4181778670132,,Low_spent_Medium_value_payments,Property,110958,97,19,1.0,-0.10785154363773675
In a Relationship,Scientist,5,1,40.77167223642469,3696.42,529.4306441822532,Standard,_,-1.0,sdv-pii-r7362,15.0,4262.9925447186415,,High_spent_Small_value_payments,Stocks,113302,56,49,19.0,-3.44
Single,Scientist,7,1,41.51328788148247,3955.61,311.22702955615085,Poor,Good,5.0,,3.0,3990.5652052825267,,Low_spent_Small_value_payments,No Collateral,0,85,-5,26.0,4.850235238272299
Single,Musician,6,1,32.95920241185492,895.42,218.3671581587658,Poor,_,-2.0,sdv-pii-kgmrh,6.0,2366.5779013332776,,Low_spent_Small_value_payments,Stocks,13531,5,6,16.0,7.3400667312325165
Engaged,Accountant,1,1,34.465290001253095,2572.69,192.66856744450507,Standard,Standard,2.0,sdv-pii-cu0zv,15.0,1490.6392644183597,,High_spent_Small_value_payments,No Collateral,199002,125,25,1.0,0.2590490578324527
Widowed,Accountant,8,22,22.53759303178384,1483.54,497.3225559493741,Standard,Standard,-1.0,sdv-pii-it3ki,9.0,4255.045527305995,,Low_spent_Small_value_payments,Bonds,72817,81,-5,2.0,7.0804419700754995
Married,Musician,1,1,31.23784150738276,4129.33,227.76485513556207,Good,Bad,-7.0,sdv-pii-sqmxa,15.0,0.0,,High_spent_Large_value_payments,Bonds,119862,84,32,16.0,4.2705209720251975
Engaged,Journalist,11,2,35.94085199168006,2512.55,336.6587056773685,Poor,Bad,-3.0,sdv-pii-ln1vv,5.0,0.0,,Low_spent_Small_value_payments,Bonds,82146,70,1,23.0,5.239837500633918
In a Relationship,Entrepreneur,10,1,36.41426643828167,1730.4,401.7901446355555,Standard,Bad,2.0,sdv-pii-bsnkn,11.0,2212.4756917695886,,!@9#%8,Vehicle,52474,30,3,24.0,1.1220633898700045
Single,Mechanic,4,1,36.99072967273501,1838.69,405.5520512048844,Good,Standard,4.0,sdv-pii-0cwll,1.0,2687.6818419626647,,Low_spent_Medium_value_payments,Property,36880,98,10,18.0,3.15808635839693
